track,tags,length
49734,"5,6,9,26,32,55,96",72
67845,"6,9,28,39,145,155",57
25302,"0,6,28,40,116,168",72
57796,"28,186",52
13676,"6,23,177",25
29968,"43,183,252",63
38652,"0,10,48",34
23887,"35,112,191",50
44661,"0,16",47
26449,"6,9,32,85,122",59
16511,"6,145,187,241",183
32609,"0,8,40,248",69
43932,"0,1,8,12,13",68
13941,"0,7,8,38,80",45
20065,"6,145,241",87
53370,"1,5,15,35,64,70,99,165",58
62174,"1,5,104,172",65
52322,"0,2,8,32,51",56
41853,"1,15,25,71,92,99",50
58614,"0,8,30,51",67
22115,"3,35,55,73,112,146,198",50
34257,"6,122",83
63054,"0,1,2,8,128",44
850,"6,145,170",275
2980,"6,215",92
31505,"0,80,100,156",41
27354,"0,4,7,16,88",55
38840,"0,2,8,9,24,40,141",56
71885,"0,4,7,8",64
7290,"0,7,57",62
5201,"6,215",111
22749,"6,158",32
23811,"2,6,9,26,32,47,103,117,151",36
2248,"0,28,182",48
57495,"0,5,8,10,80",58
36136,"0,2,8,51",62
45537,"9,45,47",58
42745,"1,5,45,75,119",49
16219,"9,28,35,112",48
56099,"6,9,81,117,175,187,241",139
21128,"0,1,43,98,225",63
13578,"0,57,63,142",24
37938,"0,10,12,97,100,132",26
18328,"35,143,244",50
14377,"1,2,13,196",50
28125,"0,10,73",39
25576,"0,3,22,31,40,84",72
32786,"9,32,85,155",42
75197,"9,47",60
29066,"9,23,134,169",42
40507,"5,89,104,164",14
66505,"0,14,38,130",62
60695,"1,11,50,178",80
9731,"5,63,68,118,157",45
48640,"2,9,26,32,45,231",54
7422,"0,16,40,128",41
30991,"0,2,24,26,41",62
44738,"0,2,8,61",76
5959,"0,18,80",59
76150,"2,5,75",48
50115,"2,6,61,101",43
68596,"0,2,8,51",55
76299,"0,1,48,84",58
63235,"6,9,32,45,81,103",49
32004,"0,22,30",11
62651,"0,48,84",47
45551,"0,16,163,240",47
6942,"6,43,63,72,98,121",72
50984,"0,1,8,45",66
53279,"0,16,128",50
44212,"1,11,229",50
36273,"0,8,16,48",77
24861,"1,71,92,113",54
34138,"2,23,160",45
18598,"6,117",53
56345,"2,26,41,104",46
13650,"0,2,8,38,51",41
12784,"0,2,36",28
16911,"5,68,102,254",43
71152,"0,16,128",51
8406,"1,21,37,83,219",62
26338,"1,21,37,83,219",96
59228,"1,92,119,223",57
23712,"0,28,46,59,85",52
36433,"28,168,221",48
23006,"5,68,133",89
28967,"0,1,5,12,70,74,75,90",64
6170,"5,89,230",61
17155,"0,1,2,15,36,209",66
54703,"0,5,18,68,103",50
52898,"1,2,13,17,86,119,239,250",68
50775,"2,23,204",40
14641,"0,16",58
10535,"35,73,112,233",36
21484,"35,73,112,233",54
23472,"0,3,4,31,34",60
21861,"6,93,117,194,240",59
32603,"0,28,168",52
29569,"1,54,99,123,167",99
15493,"3,23,35,134,169,191",51
53801,"35,73,112,233",57
10434,"35,73,112,233",54
59973,"2,24,26,252",53
64685,"1,15,92,218",78
3142,"0,1,17,29,96",53
15740,"35,112,146",49
35707,"0,1,4,37,99",93
12191,"0,69",84
16053,"35,143,146",52
19741,"0,18,20",48
37208,"5,133",67
39110,"0,9,32,51,69,116",41
41029,"0,8,31,69,128",43
7997,"0,8,9,22,32,40,59,69,130",47
25454,"0,2,8,59,69",39
437,"2,6,24,101",43
74381,"0,2,8,24,46",34
56582,"1,2,24,36",43
64525,"35,143,244",40
4987,"23,35,73,173,234,244",63
35424,"1,15,25,43,121,195,252",15
25515,"6,9,47,81,116",49
29510,"5,133",55
18310,"5,118",40
33725,"6,103",58
7842,"6,9,28,85,117",31
75491,"0,1,4,140,149",22
31864,"6,158",68
37330,"0,4,27,211",53
47918,"35,191",56
62937,"0,1,17,29,48",64
51914,"1,3,6,11,72,93",171
66868,"0,16,51,163",65
34846,"0,18,80",67
6145,"6,145",103
37579,"0,6,8,9,31,32,40,103,116",12
37291,"3,6,81,170,240",61
66354,"3,19,200",31
71532,"2,8,9,47,75,141",71
64076,"0,1,2,8,26,86",44
28546,"0,3,22,28,40",48
26524,"1,9,32,45,47",68
20102,"0,49",46
29222,"6,177",88
6044,"1,9,17,32,47",73
58711,"0,7,30,52,132",42
16434,"0,1,2,17,87",48
40441,"0,2,26,51",47
27618,"3,19,106,147",41
69236,"0,30",40
21552,"0,84,163",48
1419,"0,8,23,169,173,207",77
60560,"0,7,23,31,40,84",27
16397,"1,2,5,11,23,26,55,86,99,196",66
532,"0,4,22,209",43
25156,"5,68,102,118",53
25182,"2,5,75,104",48
9905,"5,68,118,127,133",47
75867,"0,22,38,51",57
23381,"0,3,34,38,46",46
19910,"0,2,8,26,41,86",65
74728,"2,5,9,35,55,75",45
74374,"9,55",67
33070,"0,216",62
1530,"0,2,8,115",48
64614,"0,2,8,115",53
4506,"0,91",40
37734,"0,4,149,226",36
775,"2,5,26,75,104",60
54808,"0,22,51",20
58516,"1,2,9,25,26,32,55",63
67226,"0,130",51
12671,"5,89,127",56
74066,"0,51",49
26576,"0,1,2,8,13,48",41
26867,"2,5,104",59
5863,"2,23,24,26,173",55
39288,"9,32,47,202",36
12824,"2,23,173",60
62607,"2,23,173",90
44981,"1,2,25,41",53
27750,"3,34",51
68494,"1,6,9,45,47,103",58
15849,"23,173",70
59179,"0,2,6,23,36,99,122,169,177,214,228,234",47
46617,"2,6,9,23,35,134,169",48
49074,"0,9,31,32,202",45
9455,"2,41",45
44651,"6,101,117,122,162",44
53298,"0,14",56
